"words","topics","probability","frequency","saliency","lift","phi","relevance"
"credit",1,6.64313775099409e-17,54,0.00780990452693476,6.32950358798621e-15,6.64313775099409e-17,-34.9719583800583
"credit",2,0.00184294054908188,54,0.00780990452693476,0.175593209942297,0.00184294054908188,-4.01798906239279
"credit",3,0.0262247270966742,54,0.00780990452693476,2.4986611820223,0.0262247270966742,-1.36264873487231
"customer",1,1.08929296850374e-05,144,0.0269824246712073,0.000389382791726623,1.08929296850374e-05,-9.63917214485607
"customer",2,5.6865786299049e-09,144,0.0269824246712073,2.0327459428356e-07,5.6865786299049e-09,-17.196932577842
"customer",3,0.0734891173644121,144,0.0269824246712073,2.62696983348626,0.0734891173644121,-0.822393459706802
"customers",1,0.0114868093984841,47,0.00236569256776561,1.26173507376511,0.0114868093984841,-2.11703404718906
"customers",2,0.015300129655505,47,0.00236569256776561,1.68059811474298,0.015300129655505,-1.83037211283423
"customers",3,0.00243233511182365,47,0.00236569256776561,0.267172755747413,0.00243233511182365,-3.6693816681107
"date",1,1.80222240090773e-16,8,0.00123810684212869,1.15078894817778e-13,1.80222240090773e-16,-33.0227496886396
"date",2,0.00446748256920417,8,0.00123810684212869,2.85266100578241,0.00446748256920417,-2.18133898386061
"date",3,0.000841254331420537,8,0.00123810684212869,0.537173540134576,0.000841254331420537,-3.85102529946072
"day",1,0.020936798442322,44,0.00549541377322354,2.48511971068172,0.020936798442322,-1.47796307274488
"day",2,1.81837522668175e-05,44,0.00549541377322354,0.00215834342088695,1.81837522668175e-05,-8.52669819075129
"day",3,0.00339103625406485,44,0.00549541377322354,0.402503327231643,0.00339103625406485,-3.2983358201894
"days",1,1.23850791253065e-09,26,0.00487910170576825,2.45199167152126e-07,1.23850791253065e-09,-17.8652767538573
"days",2,6.10621218125066e-12,26,0.00487910170576825,1.2089047846594e-09,6.10621218125066e-12,-23.1776327482272
"days",3,0.0132706579194051,26,0.00487910170576825,2.62731811115367,0.0132706579194051,-1.67811812804844
"deal",1,5.87086704709755e-17,8,0.00146854820210201,3.77742447600497e-14,5.87086704709755e-17,-34.1405465649202
"deal",2,1.34482241753097e-05,8,0.00146854820210201,0.00865283624226018,1.34482241753097e-05,-7.98326580735625
"deal",3,0.00407352041214812,8,0.00146854820210201,2.62097839806497,0.00407352041214812,-2.26985000241291
"debit",1,3.68809516696546e-13,21,0.00394081946145017,9.0401654067815e-11,3.68809516696546e-13,-25.8776273252785
"debit",2,4.5801335478609e-15,21,0.00394081946145017,1.12267072793242e-12,4.5801335478609e-15,-30.2661794644971
"debit",3,0.010718609233126,21,0.00394081946145017,2.6273183313174,0.010718609233126,-1.78490509368075
"department",1,1.16628623617185e-29,10,0.00187658069762374,6.00341965691815e-27,1.16628623617185e-29,-63.4993057073026
"department",2,2.06929947921041e-35,10,0.00187658069762374,1.06516503275545e-32,2.06929947921041e-35,-76.7414306744749
"department",3,0.00510409963498332,10,0.00187658069762374,2.6273183313991,0.00510409963498332,-2.15587376601408
"deposit",1,0.0280425093214242,50,0.0102866934557308,2.93679812863397,0.0280425093214242,-1.24835690702691
"deposit",2,4.63469729330081e-08,50,0.0102866934557308,4.85376332828815e-06,4.63469729330081e-08,-14.5614330329414
"deposit",3,1.34446478633255e-08,50,0.0102866934557308,1.40801296462409e-06,1.34446478633255e-08,-15.7990079154558
"deposits",1,0.0112170055973721,20,0.00411471046932659,2.93679866436592,0.0112170055973721,-1.70650209845158
"deposits",2,4.73215822057177e-12,20,0.00411471046932659,1.23895774332138e-09,4.73215822057177e-12,-23.2928175372117
"deposits",3,1.71271855118096e-08,20,0.00411471046932659,4.48418208396133e-06,1.71271855118096e-08,-15.0987766429538
"dollars",1,7.13406679141748e-12,11,0.00206423870931229,3.33839743794425e-09,7.13406679141748e-12,-22.5919573103648
"dollars",2,3.68395590737308e-28,11,0.00206423870931229,1.7239127866688e-25,3.68395590737308e-28,-60.0942130979314
"dollars",3,0.0056145095919892,11,0.00206423870931229,2.62731832841251,0.0056145095919892,-2.10821867725847
"door",1,0.011216881522136,20,0.00411407299806272,2.93676525300829,0.011216881522136,-1.70651331758775
"door",2,1.78308683213832e-07,20,0.00411407299806272,4.66841647688481e-05,1.78308683213832e-07,-12.755927574106
"door",3,6.49360489979521e-10,20,0.00411407299806272,1.70013324994552e-07,6.49360489979521e-10,-18.3712110597827
"drive",1,3.1964993210836e-10,79,0.0197875095083054,2.06285363402973e-08,3.1964993210836e-10,-19.7801925708045
"drive",2,0.0555638958268393,79,0.0197875095083054,3.58580349669491,0.0555638958268393,-0.806619533975693
"drive",3,6.25329341901537e-20,79,0.0197875095083054,4.03554881710319e-18,6.25329341901537e-20,-42.134991477573
"drive-thru",1,0.00953441834149262,17,0.00349729231971535,2.93678709524256,0.00953441834149262,-1.78776544261053
"drive-thru",2,6.57331185294645e-08,17,0.00349729231971535,2.02470845428794e-05,6.57331185294645e-08,-13.6725813496133
"drive-thru",3,1.94025833729934e-16,17,0.00349729231971535,5.9763746904412e-14,1.94025833729934e-16,-33.3134587584933
"effort",1,7.87125910832716e-17,9,0.0022542730294477,4.45884718851437e-14,7.87125910832716e-17,-33.911014795061
"effort",2,0.00633006402346716,9,0.0022542730294477,3.58580346367876,0.00633006402346716,-1.89273118073179
"effort",3,7.52827499758775e-11,9,0.0022542730294477,4.2645563238854e-08,7.52827499758775e-11,-20.1400563434985
"employee",1,0.00245987453043036,14,0.000854470216359002,0.909201755032586,0.00245987453043036,-3.05141659546505
"employee",2,7.80295693972289e-05,14,0.000854470216359002,0.0288407479986329,7.80295693972289e-05,-6.50219436951306
"employee",3,0.00485047302033855,14,0.000854470216359002,1.79279818066918,0.00485047302033855,-2.37245071005812
"employees",1,0.00310687813804156,41,0.00547304938002582,0.387974788272418,0.00310687813804156,-3.36047589561688
"employees",2,0.022920227895285,41,0.00547304938002582,2.86218839932814,0.022920227895285,-1.36207446864229
"employees",3,0.00146628128303781,41,0.00547304938002582,0.183103470769858,0.00146628128303781,-4.11136484735155
"end",1,5.67061422339821e-12,8,0.00150126451212687,3.64866229237383e-09,5.67061422339821e-12,-22.6623144535911
"end",2,2.65396762604295e-16,8,0.00150126451212687,1.70765127388984e-13,2.65396762604295e-16,-32.6318965284211
"end",3,0.00408327970282585,8,0.00150126451212687,2.62731832813481,0.00408327970282585,-2.26744554292435
"errands",1,0.00336385396098796,6,0.00122991856482159,2.93568022290081,0.00336385396098796,-2.30886438060468
"errands",2,1.57179388117674e-06,6,0.00122991856482159,0.00137172548658797,1.57179388117674e-06,-9.97748942187894
"errands",3,1.89743406074126e-22,6,0.00122991856482159,1.65591601507591e-19,1.89743406074126e-22,-46.6305659972632
"error",1,2.56562227763276e-22,6,0.00112594841857425,2.2010759074496e-19,2.56562227763276e-22,-46.3374207352657
"error",2,2.80996745625802e-20,6,0.00112594841857425,2.41070235576286e-17,2.80996745625802e-20,-41.6412786999667
"error",3,0.00306245978098999,6,0.00112594841857425,2.6273183313991,0.00306245978098999,-2.41128657789707
"everyone",1,0.000166262909018266,23,0.00192019842958013,0.0371529991978852,0.000166262909018266,-5.99732550608984
"everyone",2,0.00294279015773581,23,0.00192019842958013,0.657593933701063,0.00294279015773581,-3.12378238731263
