"","counts","tfidf","positivity","negativity","sentiment","words"
"300",2,0.126308233591212,0,0.00350262697022767,0,"assurance"
"301",9,0.427802844220439,0.00350262697022767,0.0122591943957968,0.285714285714286,"assured"
"302",2,0.76311224461357,0.00350262697022767,0,Inf,"assurian"
"303",2,0.300240883126651,0.00350262697022767,0,Inf,"asurion"
"304",1,0.0614587042641802,0,0.00175131348511384,0,"ate"
"305",1,0.218032069889592,0,0.00175131348511384,0,"atrocious"
"306",26,2.26252471905147,0.00700525394045534,0.0385288966725044,0.181818181818182,"att"
"307",1,0.111674962626376,0,0.00175131348511384,0,"attack"
"308",3,1.6158913171613,0,0.00525394045534151,0,"attempt"
"309",7,0.912972156314307,0,0.0122591943957968,0,"attempted"
"310",1,0.0487092922093768,0,0.00175131348511384,0,"attempting"
"311",3,1.42749679544934,0.00175131348511384,0.00350262697022767,0.5,"attended"
"312",1,0.0995363797322048,0.00175131348511384,0,Inf,"attending"
"313",5,0.596294487728544,0.00525394045534151,0.00350262697022767,1.5,"attention"
"314",5,2.06305880660992,0.00700525394045534,0.00175131348511384,4,"attentive"
"315",26,2.63253259240916,0.00700525394045534,0.0385288966725044,0.181818181818182,"attitude"
"316",1,0.208121521258246,0,0.00175131348511384,0,"attitudes"
"317",2,0.291226037463009,0,0.00350262697022767,0,"attorney"
"318",1,0.0284389656377728,0,0.00175131348511384,0,"atts"
"319",1,0.0319071321789646,0,0.00175131348511384,0,"audacity"
"320",2,0.453539826485893,0.00175131348511384,0.00175131348511384,1,"aunt"
"321",2,0.171104601747305,0.00175131348511384,0.00175131348511384,1,"authorize"
"322",4,0.199191138983497,0.00350262697022767,0.00350262697022767,1,"authorized"
"323",1,0.0446699850505505,0,0.00175131348511384,0,"auto"
"324",3,0.068579964578566,0,0.00525394045534151,0,"automatic"
"325",3,0.38313950065746,0,0.00525394045534151,0,"autopay"
"326",1,0.327048104834387,0.00175131348511384,0,Inf,"avabkathleen"
"327",4,0.625556652346694,0.00175131348511384,0.00525394045534151,0.333333333333333,"avail"
"328",31,2.24703443464419,0.0192644483362522,0.0350262697022767,0.55,"available"
"329",1,0.240982814088496,0,0.00175131348511384,0,"average"
"330",1,0.0654096209668775,0.00175131348511384,0,Inf,"aversion"
"331",19,1.25199221993651,0.00350262697022767,0.0297723292469352,0.117647058823529,"avoid"
"332",1,0.0635926870511309,0,0.00175131348511384,0,"avoiding"
"333",2,0.326424447193391,0.00350262697022767,0,Inf,"avondale"
"334",2,0.311376440582909,0.00175131348511384,0.00175131348511384,1,"award"
"335",10,1.05286190880446,0.00350262697022767,0.0140105078809107,0.25,"aware"
"336",42,2.88626285660298,0.0367775831873905,0.0367775831873905,1,"away"
"337",1,0.305244897845428,0,0.00175131348511384,0,"awayyyy"
"338",1,0.0750602207816627,0.00175131348511384,0,Inf,"awe"
"339",34,4.99554532654387,0.0490367775831874,0.010507880910683,4.66666666666667,"awesome"
"340",10,1.41086367790004,0.00175131348511384,0.0157618213660245,0.111111111111111,"awful"
"341",3,0.418620465206662,0.00175131348511384,0.00350262697022767,0.5,"awhile"
"342",1,0.0715417729325222,0,0.00175131348511384,0,"awsome"
"343",2,0.0472028192544476,0,0.00350262697022767,0,"ayham"
"344",3,0.297960784610472,0.00350262697022767,0.00175131348511384,2,"baby"
"345",1,0.0494991726235829,0,0.00175131348511384,0,"backed"
"346",1,0.286167091730089,0.00175131348511384,0,Inf,"background"
"347",3,0.137049049318186,0,0.00525394045534151,0,"backing"
"348",1,0.0446699850505505,0,0.00175131348511384,0,"backoffice"
"349",3,0.142174162964986,0.00175131348511384,0.00350262697022767,0.5,"backorder"
"350",6,0.374687912125389,0,0.010507880910683,0,"backup"
"351",58,3.28390098450419,0.0262697022767075,0.0753064798598949,0.348837209302326,"bad"
"352",1,0.152622448922714,0.00175131348511384,0,Inf,"badass"
"353",1,0.0880514128400273,0,0.00175131348511384,0,"badly"
"354",6,0.629957640953127,0.00350262697022767,0.00700525394045534,0.5,"bag"
"355",2,0.194837168837507,0,0.00350262697022767,0,"bags"
"356",1,1.14466836692036,0,0.00175131348511384,0,"bah"
"357",2,0.127824455566092,0,0.00350262697022767,0,"bait"
"358",1,0.0832486085032986,0,0.00175131348511384,0,"baitandswitch"
"359",2,0.100834000717715,0.00175131348511384,0.00175131348511384,1,"baja"
