"From","To","Co-occurance"
"Time","Men",1
"Deal","Men",4
"Quality","Men",0
"Clothing","Men",4
"Clean","Men",0
"Cosmetics","Men",0
"Price","Men",0
"Women","Men",1
"Men","Men",0
"Bedding","Men",1
"Wedding","Men",0
"Mattress","Men",0
"Bathroom","Men",0
"Lamps","Men",0
"Watches","Men",0
"Furniture","Men",1
"Management","Bedding",0
"Jewelry","Bedding",0
"Macy.s.Card","Bedding",1
"Returns","Bedding",0
"Location","Bedding",1
"Shoes","Bedding",0
"Customer.Service","Bedding",0
"Associate","Bedding",0
"Purse","Bedding",0
"Delivery","Bedding",0
"Website","Bedding",0
"Display","Bedding",0
"Fashion","Bedding",0
"Dillard.s","Bedding",0
"Kohl.s","Bedding",0
"Register","Bedding",1
"Time","Bedding",1
"Deal","Bedding",3
"Quality","Bedding",0
"Clothing","Bedding",0
"Clean","Bedding",0
"Cosmetics","Bedding",0
"Price","Bedding",0
"Women","Bedding",1
"Men","Bedding",1
"Bedding","Bedding",0
"Wedding","Bedding",0
"Mattress","Bedding",0
"Bathroom","Bedding",0
"Lamps","Bedding",0
"Watches","Bedding",0
"Furniture","Bedding",0
"Management","Wedding",0
"Jewelry","Wedding",0
"Macy.s.Card","Wedding",0
"Returns","Wedding",0
"Location","Wedding",1
"Shoes","Wedding",0
"Customer.Service","Wedding",1
"Associate","Wedding",0
"Purse","Wedding",0
"Delivery","Wedding",0
"Website","Wedding",0
"Display","Wedding",0
"Fashion","Wedding",1
"Dillard.s","Wedding",0
"Kohl.s","Wedding",0
"Register","Wedding",1
"Time","Wedding",0
"Deal","Wedding",2
"Quality","Wedding",0
"Clothing","Wedding",0
"Clean","Wedding",0
"Cosmetics","Wedding",0
"Price","Wedding",0
"Women","Wedding",0
"Men","Wedding",0
"Bedding","Wedding",0
"Wedding","Wedding",0
"Mattress","Wedding",0
"Bathroom","Wedding",0
"Lamps","Wedding",0
"Watches","Wedding",0
"Furniture","Wedding",0
"Management","Mattress",0
"Jewelry","Mattress",0
"Macy.s.Card","Mattress",0
"Returns","Mattress",0
"Location","Mattress",0
"Shoes","Mattress",0
"Customer.Service","Mattress",0
"Associate","Mattress",0
"Purse","Mattress",0
"Delivery","Mattress",0
"Website","Mattress",0
"Display","Mattress",0
"Fashion","Mattress",0
"Dillard.s","Mattress",0
"Kohl.s","Mattress",0
"Register","Mattress",0
"Time","Mattress",0
"Deal","Mattress",0
"Quality","Mattress",0
"Clothing","Mattress",0
"Clean","Mattress",0
"Cosmetics","Mattress",0
"Price","Mattress",0
"Women","Mattress",0
"Men","Mattress",0
"Bedding","Mattress",0
"Wedding","Mattress",0
"Mattress","Mattress",0
"Bathroom","Mattress",0
"Lamps","Mattress",0
"Watches","Mattress",0
"Furniture","Mattress",0
"Management","Bathroom",0
"Jewelry","Bathroom",0
"Macy.s.Card","Bathroom",0
"Returns","Bathroom",0
"Location","Bathroom",0
"Shoes","Bathroom",0
"Customer.Service","Bathroom",0
"Associate","Bathroom",0
"Purse","Bathroom",0
"Delivery","Bathroom",0
"Website","Bathroom",0
"Display","Bathroom",0
"Fashion","Bathroom",0
"Dillard.s","Bathroom",0
"Kohl.s","Bathroom",0
"Register","Bathroom",0
"Time","Bathroom",0
"Deal","Bathroom",0
"Quality","Bathroom",0
"Clothing","Bathroom",0
"Clean","Bathroom",0
"Cosmetics","Bathroom",0
"Price","Bathroom",0
"Women","Bathroom",0
"Men","Bathroom",0
"Bedding","Bathroom",0
"Wedding","Bathroom",0
"Mattress","Bathroom",0
"Bathroom","Bathroom",0
"Lamps","Bathroom",0
"Watches","Bathroom",0
"Furniture","Bathroom",0
"Management","Lamps",0
"Jewelry","Lamps",0
"Macy.s.Card","Lamps",0
"Returns","Lamps",0
"Location","Lamps",0
"Shoes","Lamps",0
"Customer.Service","Lamps",0
"Associate","Lamps",0
"Purse","Lamps",0
"Delivery","Lamps",0
"Website","Lamps",0
"Display","Lamps",0
"Fashion","Lamps",0
"Dillard.s","Lamps",0
"Kohl.s","Lamps",0
"Register","Lamps",0
"Time","Lamps",0
"Deal","Lamps",0
"Quality","Lamps",0
"Clothing","Lamps",0
"Clean","Lamps",0
"Cosmetics","Lamps",0
"Price","Lamps",0
"Women","Lamps",0
"Men","Lamps",0
"Bedding","Lamps",0
"Wedding","Lamps",0
"Mattress","Lamps",0
"Bathroom","Lamps",0
"Lamps","Lamps",0
"Watches","Lamps",0
"Furniture","Lamps",0
"Management","Watches",1
"Jewelry","Watches",1
"Macy.s.Card","Watches",0
"Returns","Watches",0
"Location","Watches",1
"Shoes","Watches",0
"Customer.Service","Watches",1
"Associate","Watches",1
"Purse","Watches",0
"Delivery","Watches",0
"Website","Watches",0
"Display","Watches",0
"Fashion","Watches",0
"Dillard.s","Watches",0
"Kohl.s","Watches",0
"Register","Watches",0
"Time","Watches",0
"Deal","Watches",2
"Quality","Watches",0
"Clothing","Watches",1
"Clean","Watches",0
"Cosmetics","Watches",1
"Price","Watches",0
"Women","Watches",0
"Men","Watches",0
"Bedding","Watches",0
"Wedding","Watches",0
"Mattress","Watches",0
"Bathroom","Watches",0
"Lamps","Watches",0
"Watches","Watches",0
"Furniture","Watches",0
"Management","Furniture",1
"Jewelry","Furniture",0
"Macy.s.Card","Furniture",1
"Returns","Furniture",1
"Location","Furniture",0
"Shoes","Furniture",0
"Customer.Service","Furniture",4
"Associate","Furniture",1
"Purse","Furniture",0
"Delivery","Furniture",3
"Website","Furniture",1
"Display","Furniture",0
"Fashion","Furniture",0
"Dillard.s","Furniture",0
"Kohl.s","Furniture",0
"Register","Furniture",0
"Time","Furniture",2
"Deal","Furniture",3
"Quality","Furniture",2
"Clothing","Furniture",0
"Clean","Furniture",0
"Cosmetics","Furniture",0
"Price","Furniture",2
"Women","Furniture",0
"Men","Furniture",1
"Bedding","Furniture",0
"Wedding","Furniture",0
"Mattress","Furniture",0
"Bathroom","Furniture",0
"Lamps","Furniture",0
"Watches","Furniture",0
"Furniture","Furniture",0
